pair_type,true_kw,pred_kw,prob_true_kw
genuine,3,3,0.8938140869140625
genuine,0,0,0.94603031873703
genuine,6,6,0.9243465065956116
genuine,1,1,0.918071985244751
genuine,0,0,0.8969548344612122
genuine,9,9,0.8652172088623047
genuine,3,3,0.9048324823379517
genuine,5,5,0.8590781688690186
genuine,6,6,0.988492488861084
genuine,4,4,0.6977006793022156
genuine,7,7,0.8407618403434753
genuine,5,5,0.9845106601715088
genuine,6,6,0.9767720103263855
genuine,4,4,0.8920403122901917
genuine,9,9,0.9906594753265381
genuine,5,5,0.988938570022583
genuine,0,0,0.9357678890228271
genuine,2,2,0.9565132856369019
genuine,3,3,0.903425931930542
genuine,1,1,0.7636734843254089
genuine,2,2,0.9862650036811829
genuine,0,0,0.968444287776947
genuine,5,5,0.9907095432281494
genuine,9,9,0.9810950756072998
genuine,7,7,0.9748284220695496
genuine,6,6,0.8279577493667603
genuine,5,5,0.8073455691337585
genuine,2,2,0.965816855430603
genuine,4,4,0.8168190121650696
genuine,4,0,0.18168918788433075
genuine,0,0,0.9205097556114197
genuine,9,9,0.7614110112190247
genuine,7,7,0.8954542279243469
genuine,2,2,0.7911977767944336
genuine,4,4,0.7029592990875244
genuine,1,1,0.896622359752655
genuine,2,2,0.8196591138839722
genuine,0,0,0.9408978819847107
genuine,5,5,0.8508908748626709
genuine,6,6,0.776703417301178
genuine,3,9,0.2404944747686386
genuine,8,8,0.9920927882194519
genuine,8,8,0.6873798966407776
genuine,2,2,0.9417137503623962
genuine,4,4,0.913118302822113
genuine,8,8,0.6873798966407776
genuine,9,9,0.9470272064208984
genuine,4,4,0.9502602815628052
genuine,0,0,0.9583306312561035
genuine,3,3,0.7462170124053955
genuine,9,9,0.679495096206665
genuine,4,4,0.9182015061378479
genuine,6,6,0.8902087807655334
genuine,2,2,0.9598842263221741
genuine,3,3,0.6547805070877075
genuine,6,6,0.8902220726013184
genuine,2,2,0.9517956376075745
genuine,1,1,0.755858838558197
genuine,5,5,0.6520696878433228
genuine,2,2,0.9425581097602844
genuine,7,7,0.9908498525619507
genuine,6,6,0.988477349281311
genuine,8,8,0.9931758046150208
genuine,7,7,0.9965744018554688
genuine,4,4,0.995997428894043
genuine,8,8,0.9927423000335693
genuine,1,1,0.8724415898323059
genuine,7,7,0.9703537225723267
genuine,5,5,0.853274941444397
genuine,7,7,0.9972442388534546
genuine,8,8,0.986525297164917
genuine,2,2,0.8353860378265381
genuine,9,9,0.6205447912216187
genuine,5,5,0.5302799940109253
genuine,3,3,0.8562612533569336
genuine,2,2,0.9544032216072083
genuine,6,6,0.879504382610321
genuine,1,1,0.5124514698982239
genuine,6,6,0.9794766306877136
genuine,1,1,0.9486525058746338
genuine,2,2,0.9425248503684998
genuine,1,1,0.9016439914703369
genuine,0,0,0.9720350503921509
genuine,7,7,0.9980273842811584
genuine,6,6,0.9717411398887634
genuine,6,6,0.9767332673072815
genuine,8,8,0.8880546689033508
genuine,9,9,0.9599485397338867
genuine,5,5,0.8608473539352417
genuine,4,4,0.691940188407898
genuine,2,2,0.9926970601081848
genuine,1,1,0.8688105344772339
genuine,6,6,0.9936703443527222
genuine,0,0,0.992276132106781
genuine,6,6,0.9900469183921814
genuine,5,5,0.9873966574668884
genuine,7,7,0.9913261532783508
genuine,8,8,0.8429725766181946
genuine,8,8,0.9563296437263489
genuine,4,4,0.9170792102813721
genuine,7,7,0.959534764289856
genuine,5,5,0.9259635210037231
genuine,6,6,0.9299719929695129
genuine,0,0,0.9778605699539185
genuine,8,8,0.7138041853904724
genuine,6,6,0.9542333483695984
genuine,3,3,0.8637292981147766
genuine,2,2,0.9790126085281372
genuine,8,8,0.92564857006073
genuine,8,8,0.9008191227912903
genuine,5,5,0.9772303700447083
genuine,2,2,0.847639262676239
genuine,5,5,0.9831684827804565
genuine,9,9,0.9787599444389343
genuine,1,1,0.8567128777503967
genuine,5,5,0.9537500143051147
genuine,5,5,0.9902440905570984
genuine,2,2,0.90013188123703
genuine,2,2,0.9449591040611267
genuine,7,7,0.7466210126876831
genuine,3,3,0.8083469271659851
genuine,9,9,0.9346027374267578
genuine,1,1,0.8646259903907776
genuine,0,0,0.5674382448196411
genuine,2,2,0.9047544002532959
genuine,1,1,0.9455505013465881
genuine,4,4,0.8349196314811707
genuine,9,9,0.9346027374267578
genuine,8,8,0.9484248161315918
genuine,3,3,0.9031860828399658
genuine,2,2,0.9883717894554138
genuine,1,1,0.9864054322242737
genuine,2,2,0.9897933006286621
genuine,2,2,0.9795944094657898
genuine,5,5,0.9759680032730103
genuine,4,4,0.9872007369995117
genuine,7,7,0.9904997944831848
genuine,8,8,0.991581380367279
genuine,4,4,0.9631160497665405
genuine,9,9,0.9941984415054321
genuine,5,5,0.9028451442718506
genuine,3,3,0.9665746092796326
genuine,0,0,0.9316410422325134
genuine,3,3,0.9761334657669067
genuine,4,4,0.9086175560951233
genuine,1,1,0.9297208189964294
genuine,6,6,0.9875739216804504
genuine,1,1,0.8791397213935852
genuine,9,9,0.9555560946464539
genuine,0,0,0.9395948648452759
genuine,2,2,0.6032497882843018
genuine,9,10,0.3486279249191284
genuine,5,5,0.881151020526886
genuine,0,0,0.8634319305419922
genuine,3,3,0.5951427221298218
genuine,9,10,0.367000937461853
genuine,4,4,0.6287693381309509
genuine,9,10,0.08883315324783325
genuine,8,8,0.7662482857704163
genuine,1,1,0.9885938167572021
genuine,6,6,0.7071130275726318
genuine,0,0,0.7583421468734741
genuine,0,0,0.663934051990509
genuine,5,5,0.9470820426940918
genuine,4,4,0.8614110946655273
genuine,8,8,0.7641470432281494
genuine,2,2,0.9942412376403809
genuine,1,1,0.9120830297470093
genuine,2,2,0.978032112121582
genuine,3,3,0.9051201939582825
genuine,7,7,0.7411505579948425
genuine,2,2,0.9640970826148987
genuine,6,6,0.9346518516540527
genuine,9,9,0.8233689665794373
genuine,1,1,0.7893063426017761
genuine,7,7,0.48719522356987
genuine,3,3,0.7392812371253967
genuine,6,6,0.74878990650177
genuine,7,7,0.7300273776054382
genuine,3,3,0.5829263925552368
genuine,5,5,0.7115879654884338
genuine,4,4,0.9353773593902588
genuine,8,8,0.8993557691574097
genuine,7,7,0.8126716613769531
genuine,2,2,0.8955832719802856
genuine,1,1,0.9098993539810181
genuine,6,10,0.47092607617378235
genuine,9,9,0.8522595167160034
genuine,9,9,0.8889947533607483
genuine,0,0,0.776646614074707
genuine,7,7,0.6586781144142151
genuine,5,5,0.9591935276985168
genuine,7,7,0.47743770480155945
genuine,1,1,0.9354210495948792
genuine,0,0,0.8763992786407471
genuine,4,4,0.9949530363082886
genuine,8,8,0.813592255115509
genuine,7,10,0.2617965042591095
genuine,0,0,0.9462903141975403
genuine,9,9,0.83265620470047
genuine,1,1,0.9681743383407593
genuine,7,7,0.6921938061714172
genuine,5,10,0.34282779693603516
genuine,2,10,0.18622930347919464
genuine,8,8,0.858121395111084
genuine,6,6,0.7100896835327148
genuine,6,6,0.7915040254592896
genuine,6,6,0.9373714923858643
genuine,9,9,0.8693834543228149
genuine,4,4,0.7699576020240784
genuine,0,0,0.9805624485015869
genuine,7,2,0.1521800309419632
genuine,2,2,0.9296072125434875
genuine,3,3,0.7314474582672119
genuine,5,5,0.9738849997520447
genuine,3,3,0.4793540835380554
genuine,8,8,0.9605509638786316
genuine,6,6,0.9821586012840271
genuine,9,9,0.9499207735061646
genuine,4,10,0.38863614201545715
genuine,1,1,0.5941359996795654
genuine,4,4,0.8322916030883789
genuine,8,8,0.5764573216438293
genuine,5,5,0.5818403959274292
genuine,8,8,0.6566465497016907
genuine,3,3,0.8615922927856445
genuine,3,3,0.8814645409584045
genuine,9,9,0.8253011107444763
genuine,3,3,0.7379499673843384
genuine,8,10,0.45116984844207764
genuine,1,1,0.5152168273925781
genuine,5,5,0.8799163103103638
genuine,6,6,0.7144699692726135
genuine,5,5,0.872384250164032
genuine,9,9,0.7966188192367554
genuine,9,9,0.8212215900421143
genuine,9,9,0.7284138798713684
genuine,0,0,0.891376793384552
genuine,3,3,0.5485002994537354
genuine,7,10,0.3071076273918152
genuine,6,10,0.41337138414382935
genuine,4,4,0.7363660931587219
genuine,9,9,0.3747369945049286
genuine,7,7,0.874236524105072
genuine,8,8,0.9113004207611084
genuine,3,3,0.9429824948310852
genuine,7,7,0.8429943323135376
genuine,7,7,0.9009369611740112
genuine,0,10,0.4533108174800873
genuine,5,10,0.18874715268611908
genuine,3,10,0.4132782220840454
genuine,4,4,0.8681226372718811
genuine,6,6,0.8796122670173645
genuine,9,9,0.4369538724422455
genuine,5,5,0.940869927406311
genuine,5,5,0.9543450474739075
