pair_type,true_kw,pred_kw,prob_true_kw
genuine,3,3,0.8757924437522888
genuine,0,0,0.9383159875869751
genuine,6,6,0.7883726358413696
genuine,1,1,0.9969080090522766
genuine,0,0,0.7207487225532532
genuine,9,9,0.9857690930366516
genuine,3,3,0.7905166149139404
genuine,5,5,0.9940724968910217
genuine,6,6,0.9739349484443665
genuine,4,4,0.9600000381469727
genuine,7,7,0.5701534152030945
genuine,5,5,0.768009603023529
genuine,6,6,0.9604146480560303
genuine,4,10,0.3496714234352112
genuine,9,9,0.7166420817375183
genuine,5,5,0.7389436960220337
genuine,0,10,0.43097493052482605
genuine,2,2,0.6125745177268982
genuine,3,3,0.5241724848747253
genuine,1,1,0.594613254070282
genuine,2,2,0.9898403286933899
genuine,0,0,0.9092963337898254
genuine,5,5,0.9591829180717468
genuine,9,9,0.9748905897140503
genuine,7,7,0.9088628888130188
genuine,6,10,0.31120309233665466
genuine,5,5,0.7031012773513794
genuine,2,2,0.7086840271949768
genuine,4,4,0.4057859182357788
genuine,4,0,0.1292906105518341
genuine,0,0,0.9205867052078247
genuine,9,9,0.9586542248725891
genuine,7,10,0.34498971700668335
genuine,2,2,0.5995261073112488
genuine,4,4,0.5505831837654114
genuine,1,1,0.771107017993927
genuine,2,2,0.4568314254283905
genuine,0,0,0.703014075756073
genuine,5,5,0.816902220249176
genuine,6,10,0.1500362604856491
genuine,3,3,0.6321316957473755
genuine,8,8,0.5984136462211609
genuine,8,8,0.6025912761688232
genuine,2,2,0.8941107392311096
genuine,4,4,0.5657038688659668
genuine,8,8,0.6025912761688232
genuine,9,9,0.9744231104850769
genuine,4,4,0.9680169224739075
genuine,0,10,0.4556574821472168
genuine,3,3,0.9487585425376892
genuine,9,9,0.6427579522132874
genuine,4,10,0.33002132177352905
genuine,6,6,0.9268940687179565
genuine,2,10,0.3163856267929077
genuine,3,3,0.5061625838279724
genuine,6,6,0.9034351110458374
genuine,2,2,0.9437642693519592
genuine,1,1,0.8674222230911255
genuine,5,10,0.08223339170217514
genuine,2,10,0.28363606333732605
genuine,7,7,0.8834216594696045
genuine,6,6,0.9095585942268372
genuine,8,8,0.8380369544029236
genuine,7,7,0.691059410572052
genuine,4,4,0.98723965883255
genuine,8,8,0.5482669472694397
genuine,1,1,0.9937633872032166
genuine,7,7,0.7904965877532959
genuine,5,10,0.08938048034906387
genuine,7,7,0.8731944561004639
genuine,8,8,0.8879179358482361
genuine,2,2,0.9791628122329712
genuine,9,10,0.29401689767837524
genuine,5,10,0.13590192794799805
genuine,3,3,0.45825010538101196
genuine,2,2,0.8712865114212036
genuine,6,6,0.8590914607048035
genuine,1,10,0.09785733371973038
genuine,6,10,0.2603287994861603
genuine,1,10,0.39183157682418823
genuine,2,2,0.6252122521400452
genuine,1,1,0.8943190574645996
genuine,0,0,0.7113972306251526
genuine,7,7,0.9917436242103577
genuine,6,6,0.9620792865753174
genuine,6,6,0.502665638923645
genuine,8,10,0.3937324285507202
genuine,9,9,0.9314439296722412
genuine,5,5,0.611382007598877
genuine,4,4,0.8050783276557922
genuine,2,10,0.35398632287979126
genuine,1,1,0.5674908757209778
genuine,6,10,0.2635658085346222
genuine,0,10,0.42023855447769165
genuine,6,10,0.21671396493911743
genuine,5,5,0.5983260273933411
genuine,7,7,0.9809430241584778
genuine,8,8,0.5850353837013245
genuine,8,8,0.6601876616477966
genuine,4,4,0.6032909750938416
genuine,7,10,0.22580212354660034
genuine,5,10,0.12677781283855438
genuine,6,6,0.5080109238624573
genuine,0,0,0.71896892786026
genuine,8,10,0.4581853151321411
genuine,6,6,0.8301807045936584
genuine,3,3,0.7180958986282349
genuine,2,10,0.48114439845085144
genuine,8,10,0.22572429478168488
genuine,8,10,0.39748552441596985
genuine,5,10,0.1274917870759964
genuine,2,2,0.748043954372406
genuine,5,10,0.13110476732254028
genuine,9,9,0.7062790989875793
genuine,1,1,0.7714840173721313
genuine,5,10,0.21245741844177246
genuine,5,5,0.5280826091766357
genuine,2,2,0.8898629546165466
genuine,2,2,0.9118543863296509
genuine,7,10,0.41973498463630676
genuine,3,3,0.8814916014671326
genuine,9,9,0.8989788293838501
genuine,1,1,0.5234474539756775
genuine,0,0,0.541374146938324
genuine,2,10,0.04203290492296219
genuine,1,10,0.2015557587146759
genuine,4,4,0.9928580522537231
genuine,9,9,0.8989788293838501
genuine,8,8,0.9736010432243347
genuine,3,3,0.6266069412231445
genuine,2,2,0.9458805918693542
genuine,1,1,0.8818977475166321
genuine,2,2,0.9196663498878479
genuine,2,2,0.8254811763763428
genuine,5,5,0.6550358533859253
genuine,4,10,0.22444741427898407
genuine,7,10,0.3541855216026306
genuine,8,8,0.9577434062957764
genuine,4,10,0.4860426187515259
genuine,9,9,0.8262782096862793
genuine,5,5,0.9388929009437561
genuine,3,3,0.9062948226928711
genuine,0,10,0.4325258135795593
genuine,3,3,0.8739208579063416
genuine,4,10,0.3990882635116577
genuine,1,1,0.8465384840965271
genuine,6,6,0.985094428062439
genuine,1,1,0.6235238313674927
genuine,9,9,0.8934578895568848
genuine,0,0,0.7609409093856812
genuine,2,10,0.1287802904844284
genuine,9,9,0.7837963104248047
genuine,5,5,0.8720849752426147
genuine,0,10,0.1984402984380722
genuine,3,10,0.3662126958370209
genuine,9,10,0.35266947746276855
genuine,4,10,0.3252764344215393
genuine,9,10,0.04443662241101265
genuine,8,8,0.5403613448143005
genuine,1,1,0.6757138967514038
genuine,6,6,0.8532481789588928
genuine,0,0,0.6529498100280762
genuine,0,0,0.8902257680892944
genuine,5,5,0.9892432689666748
genuine,4,4,0.810853898525238
genuine,8,8,0.8557271957397461
genuine,2,2,0.9480868577957153
genuine,1,1,0.8432232141494751
genuine,2,2,0.9680576920509338
genuine,3,3,0.8936066031455994
genuine,7,10,0.3794817626476288
genuine,2,2,0.4947021007537842
genuine,6,6,0.9475679993629456
genuine,9,9,0.45751953125
genuine,1,1,0.7382954955101013
genuine,7,10,0.06134078651666641
genuine,3,10,0.24017305672168732
genuine,6,6,0.5542318224906921
genuine,7,7,0.7161926627159119
genuine,3,10,0.07438112050294876
genuine,5,5,0.8147421479225159
genuine,4,4,0.8435811400413513
genuine,8,8,0.7378402352333069
genuine,7,7,0.546022355556488
genuine,2,10,0.4563657343387604
genuine,1,1,0.9134660363197327
genuine,6,10,0.0198377575725317
genuine,9,10,0.2767333388328552
genuine,9,10,0.34934887290000916
genuine,0,10,0.3569790720939636
genuine,7,7,0.5670181512832642
genuine,5,5,0.9916002750396729
genuine,7,10,0.3937443196773529
genuine,1,1,0.9646040797233582
genuine,0,0,0.7790639996528625
genuine,4,4,0.9865682125091553
genuine,8,8,0.8118977546691895
genuine,7,10,0.16881439089775085
genuine,0,0,0.8122878074645996
genuine,9,10,0.06488877534866333
genuine,1,1,0.5731574892997742
genuine,7,10,0.3567041754722595
genuine,5,10,0.06559180468320847
genuine,2,10,0.43418043851852417
genuine,8,10,0.2712380588054657
genuine,6,10,0.03952944278717041
genuine,6,10,0.12853479385375977
genuine,6,6,0.6631447076797485
genuine,9,10,0.21382050216197968
genuine,4,10,0.39266031980514526
genuine,0,0,0.9323762655258179
genuine,7,2,0.23854848742485046
genuine,2,2,0.8994398713111877
genuine,3,10,0.31382736563682556
genuine,5,5,0.9078830480575562
genuine,3,10,0.2658837139606476
genuine,8,8,0.6926611065864563
genuine,6,6,0.8214915990829468
genuine,9,9,0.7082109451293945
genuine,4,10,0.43921247124671936
genuine,1,1,0.7561045289039612
genuine,4,4,0.6738086938858032
genuine,8,10,0.3040196895599365
genuine,5,10,0.1054796576499939
genuine,8,10,0.31844162940979004
genuine,3,3,0.7319287657737732
